Vref (vdc=1.6) X,Vref (vdc=1.6) Y,Vref (vdc=2) X,Vref (vdc=2) Y,Vref (vdc=2.4) X,Vref (vdc=2.4) Y,Vref (vdc=2.8) X,Vref (vdc=2.8) Y,Vref (vdc=3.2) X,Vref (vdc=3.2) Y
0,1.004889004912286,0,1.001993139921211,0,1.001704210676573,0,1.001582187189201,0,1.001697941976711
17.5,1.004286297579686,17.5,1.002004868844132,17.5,1.001774587448891,17.5,1.001689790975267,17.5,1.001829213530557
35,1.003451637837106,35,1.001857893646936,35,1.001694375205895,35,1.001649471112003,35,1.001812572026037
52.5,1.002447903188041,52.5,1.001555671698287,52.5,1.001469394899846,52.5,1.001469744439576,52.5,1.001650181534272
70,1.001249402902044,70,1.001098795555302,70,1.001103916458748,70,1.001153601841624,70,1.001342240081165
