/Vd X,/Vd Y
0,1.216041648929221
1e-09,1.215644801021343
1.926253676000561e-09,1.214942866708418
2.958135236745124e-09,1.213894739044357
3.798635502100616e-09,1.212782489059998
4.791122437251563e-09,1.211157185280165
5.268884169443339e-09,1.210256540132516
6.224407633826891e-09,1.208240578876454
6.671274813210656e-09,1.207203976295854
7.565009171978185e-09,1.204968895433281
8.210781919342482e-09,1.203227847884798
8.841334427187615e-09,1.201432119953987
9.434314505131931e-09,1.199660965516468
1e-08,1.197899304345806
1.052012821678485e-08,1.196298124759865
1.13435206266138e-08,1.193844084872163
1.204118679213786e-08,1.191858823118849
1.314924447911329e-08,1.188900129406179
1.437296291333231e-08,1.185919301397445
1.567954266273297e-08,1.183076672900484
1.717457276069614e-08,1.180263383454297
1.888355565529362e-08,1.177631484201282
2.085313957674615e-08,1.175381935260622
2.320315200385139e-08,1.173808128873356
2.617372630340656e-08,1.173559534858686
2.966022011851625e-08,1.175748949996837
3.333132772828944e-08,1.180930365197567
3.710934132222626e-08,1.189297065002631
4e-08,1.197737879053968
4.083572330157788e-08,1.200855385663802
4.250701558169542e-08,1.208094712313627
4.292034462617046e-08,1.210108212085768
4.373834924965793e-08,1.214383026115933
4.432467767053615e-08,1.217685294747043
4.489994780626905e-08,1.221114941414886
4.543580023484665e-08,1.224470505333019
4.59834240631339e-08,1.228044261155348
4.676527727995863e-08,1.23333477939919
4.755509186660962e-08,1.238781978161808
4.827601922448439e-08,1.243700841462366
4.895052522577599e-08,1.248113821454076
4.922921688054478e-08,1.249861143813302
4.954378226595664e-08,1.251759815429647
4.977814957163763e-08,1.253117513497626
4.988907478581881e-08,1.25374231063432
5e-08,1.254355216873963
5.0151520962008e-08,1.255143199605314
5.043709499114656e-08,1.25654049682753
5.065109144640078e-08,1.257500942142139
5.102119270776455e-08,1.258977472421573
5.144373193486894e-08,1.260380478785903
5.189673381304074e-08,1.26156008631254
5.242340460550917e-08,1.262528842618179
5.305792173956283e-08,1.263157199309675
5.390189677834771e-08,1.263163246273411
5.426953660454678e-08,1.262886949668059
5.500481625694491e-08,1.261889551271735
5.536780127300301e-08,1.261192486151551
5.60937713051192e-08,1.259445478176902
5.648282007881658e-08,1.258329863703484
5.726091762621133e-08,1.255777031042063
5.771691893640214e-08,1.254098355994684
5.862892155678376e-08,1.250395211116314
5.925575302036163e-08,1.247604413361312
5.999999999999999e-08,1.244053529928509
6.076664388631861e-08,1.240248026233183
6.199705044241953e-08,1.23412743119695
6.30602878176403e-08,1.22882856007809
6.404514725710329e-08,1.223915031097249
6.480034564325617e-08,1.220145055787787
6.546217223473935e-08,1.216840176648555
6.626219579612389e-08,1.212844450666356
6.728956228845375e-08,1.207712664088017
6.833475952569033e-08,1.202491758796157
6.926251235662776e-08,1.197858178831088
7.012720945022715e-08,1.193541208209293
7.042212563368364e-08,1.192069394561356
7.07334958425379e-08,1.190515928726389
7.101685039546304e-08,1.189102753270854
7.141203212899808e-08,1.187132880869918
7.174217198753237e-08,1.185488291497273
7.204100738781075e-08,1.184000621405215
7.240185707557651e-08,1.182205683739039
7.286339055639229e-08,1.179912686123578
7.345928718090261e-08,1.176957784166246
7.424510394462672e-08,1.173073654661609
7.530262741590142e-08,1.16787727553254
7.654489746274895e-08,1.161835919305529
7.777802013970709e-08,1.155929840659545
7.897696780512134e-08,1.150299715665388
8.016549822034469e-08,1.144853238656426
8.135988276284726e-08,1.139539551375682
8.258181672145359e-08,1.134292457208133
8.385476967364405e-08,1.129052896802883
8.519868412251177e-08,1.123795427743044
8.663194943313323e-08,1.118522489720407
8.817322839859581e-08,1.113261645012488
8.908661419929789e-08,1.110351652414422
8.999999999999999e-08,1.107601908739507
9.037447865401673e-08,1.106591251366877
9.112343596205022e-08,1.104771961328935
9.26213505781172e-08,1.102107956329172
9.460178599384425e-08,1.100652872968565
9.679230727011282e-08,1.101820259230448
9.83961536350564e-08,1.104533645970126
9.999999999999998e-08,1.108822428492978
1.004286544439415e-07,1.110144897907323
1.012859633318245e-07,1.112707935182915
1.030005811075904e-07,1.117443609920124
1.058737120079202e-07,1.124186584369927
1.079368560039601e-07,1.128108362210655
1.1e-07,1.131263407955438
1.105214676804642e-07,1.132023701595113
1.115644030413925e-07,1.13368739705022
1.136502737632492e-07,1.137697876806908
1.166917452379711e-07,1.145209498398881
1.201315268760362e-07,1.156058195769074
1.236902102686688e-07,1.169853159796777
1.272003341226158e-07,1.185947084949097
1.306503750110724e-07,1.204082029062103
1.3128269637847e-07,1.207651443580878
1.324033620302228e-07,1.214154949567369
1.329524683947957e-07,1.217421653877029
1.335329992167605e-07,1.220927776776151
1.34080329091478e-07,1.224274545002036
1.346183599506157e-07,1.227588771570342
1.354563193102926e-07,1.232724924264174
1.362284717370663e-07,1.237315501191526
1.368696404070758e-07,1.240918780134077
1.375017465408891e-07,1.244174102718163
1.380863609043075e-07,1.246828181318141
1.38341056916657e-07,1.247861914581324
1.385963611395853e-07,1.248813129205352
1.388391163341314e-07,1.24963374140489
1.391120296659857e-07,1.250455484979752
1.393823592046137e-07,1.251162904562175
1.396634797064233e-07,1.251785922759114
1.398317398532116e-07,1.252104085763314
1.4e-07,1.252381580031702
1.403365202935767e-07,1.252783036938409
1.4100956088073e-07,1.253329750757344
1.414815028584736e-07,1.253491514146016
1.423575996347774e-07,1.253335066298155
1.427693484514361e-07,1.253072130708888
1.435928460847536e-07,1.25225441637263
1.439813956704821e-07,1.251750389598138
1.447584948419392e-07,1.250582106727484
1.451543848132968e-07,1.249921797015772
