/vout X,/vout Y,/I5/PM0/D X,/I5/PM0/D Y
0,1.199675846289246,0,8.631102629758996e-16
1.861670655287675e-12,1.200039671703468,1.861670655287675e-12,2.744985477760985e-08
2.721378361024792e-12,1.200183796782472,2.721378361024792e-12,2.332889660124725e-08
4.440793772499026e-12,1.200426376136615,4.440793772499026e-12,1.646398922074485e-08
7.448724905316677e-12,1.200719031471271,7.448724905316677e-12,8.767828044204602e-09
1.01854389705454e-11,1.200880374860287,1.01854389705454e-11,4.830091840683203e-09
1.226917240532657e-11,1.200957802974528,1.226917240532657e-11,3.104475654519001e-09
1.44571073285926e-11,1.201012838392105,1.44571073285926e-11,1.994846839256134e-09
1.686824043648639e-11,1.201054078798556,1.686824043648639e-11,1.271127351456757e-09
1.968225630603244e-11,1.201086451632479,1.968225630603244e-11,8.1519060357464e-10
2.31130784509693e-11,1.201112346571951,2.31130784509693e-11,5.730612899667758e-10
2.736968250093603e-11,1.201132752678582,2.736968250093603e-11,5.13247731274071e-10
3.280598054422113e-11,1.201148548755231,3.280598054422113e-11,6.035922989579681e-10
3.976653376654476e-11,1.201159367403992,3.976653376654476e-11,8.160310878430643e-10
4.89628618601863e-11,1.201163191211933,4.89628618601863e-11,1.148183968431717e-09
6.162146943464967e-11,1.201152344680938,6.162146943464967e-11,1.664073832323307e-09
7.68798126429331e-11,1.201113566477635,7.68798126429331e-11,2.425071601658222e-09
9.262984907945025e-11,1.201039538654501,9.262984907945025e-11,3.375832703253716e-09
1.10193950889894e-10,1.200900867748948,1.10193950889894e-10,4.940813516409866e-09
1.286429808441852e-10,1.200670070722151,1.286429808441852e-10,7.20248109554712e-09
1.474441638374399e-10,1.200314402693938,1.474441638374399e-10,1.030710580131782e-08
1.646573890042985e-10,1.199851628366224,1.646573890042985e-10,1.396949397368277e-08
1.809061682860861e-10,1.199255762005059,1.809061682860861e-10,1.805868021463181e-08
1.951191984021555e-10,1.198597519242049,1.951191984021555e-10,2.238996048588587e-08
2.150665992869213e-10,1.197451988859559,2.150665992869213e-10,2.957452930295505e-08
2.348880752493334e-10,1.196050303134306,2.348880752493334e-10,3.782966080053951e-08
2.542294904008899e-10,1.194441686801139,2.542294904008899e-10,4.71570904991509e-08
2.719547026284823e-10,1.192783558342874,2.719547026284823e-10,5.700267737316421e-08
2.88186643051379e-10,1.191135688411059,2.88186643051379e-10,6.728153495315331e-08
3.044383555283946e-10,1.189383483440638,3.044383555283946e-10,7.897702994098263e-08
3.218253750238369e-10,1.187412803536943,3.218253750238369e-10,9.340895821674663e-08
3.419989682392359e-10,1.185013326658886,3.419989682392359e-10,1.134674959990689e-07
3.655629021956522e-10,1.182052882063843,3.655629021956522e-10,1.435251596131378e-07
3.862137498804314e-10,1.179296134421257,3.862137498804314e-10,1.794955030381526e-07
4.049621746014497e-10,1.176637016537097,4.049621746014497e-10,2.243140507031576e-07
4.242975925932384e-10,1.173705699652439,4.242975925932384e-10,2.89275771904441e-07
4.435610069579195e-10,1.170565575564857,4.435610069579195e-10,3.837527360882408e-07
4.610925315309058e-10,1.167491146309565,4.610925315309058e-10,5.135252812593001e-07
4.74860395517551e-10,1.164876948035007,4.74860395517551e-10,6.76661941523394e-07
4.859600451396475e-10,1.16256168623066,4.859600451396475e-10,8.954779043700821e-07
4.965997982263646e-10,1.160057264461818,4.965997982263646e-10,1.255959005819544e-06
5.055633744882406e-10,1.157635695145426,5.055633744882406e-10,1.741528126052157e-06
5.138966156747503e-10,1.155055159356938,5.138966156747503e-10,2.375169911482019e-06
5.227169191704393e-10,1.151918058687406,5.227169191704393e-10,3.228391211580198e-06
5.255012355770377e-10,1.150835814175537,5.255012355770377e-10,3.527546408255438e-06
5.310698683902344e-10,1.148527820748359,5.310698683902344e-10,4.15854010367169e-06
5.390042672777879e-10,1.144897253333887,5.390042672777879e-10,5.087731631533133e-06
5.46593969578397e-10,1.14103455042524,5.46593969578397e-10,5.959312218021536e-06
5.534464719478349e-10,1.137210956201977,5.534464719478349e-10,6.697887915989939e-06
5.600932705424668e-10,1.133205460519074,5.600932705424668e-10,7.350026815597989e-06
5.673570267378141e-10,1.128548508101672,5.673570267378141e-10,7.974610497490381e-06
5.740574673464472e-10,1.124107310677167,5.740574673464472e-10,8.461726483833517e-06
5.793673352555541e-10,1.120603108739177,5.793673352555541e-10,8.787497119912537e-06
5.838607270888933e-10,1.117736495770129,5.838607270888933e-10,9.023618232050765e-06
5.878759394720582e-10,1.115308269433942,5.878759394720582e-10,9.205634310778726e-06
5.919664762745834e-10,1.113000690870043,5.919664762745834e-10,9.364323233299735e-06
5.966546670946591e-10,1.110581278655788,5.966546670946591e-10,9.514498747950277e-06
6.030628909340198e-10,1.107644949403337,6.030628909340198e-10,9.667609575099215e-06
6.09001905315206e-10,1.105247206626329,6.09001905315206e-10,9.759177244312241e-06
6.140503339623149e-10,1.103399060533747,6.140503339623149e-10,9.802082810908821e-06
6.189460068157499e-10,1.101731765345994,6.189460068157499e-10,9.816512663996006e-06
6.240912765249535e-10,1.10008000786453,6.240912765249535e-10,9.806724168129419e-06
6.298213927023015e-10,1.098334131826811,6.298213927023015e-10,9.770581578052279e-06
6.364191645518136e-10,1.096419045657119,6.364191645518136e-10,9.702573524877898e-06
6.44109710005063e-10,1.094286630228301,6.44109710005063e-10,9.596398532816883e-06
6.532249372770729e-10,1.091866660942324,6.532249372770729e-10,9.444346659203489e-06
6.637560077450938e-10,1.089182827223678,6.637560077450938e-10,9.246060913480983e-06
6.759514314099367e-10,1.0861912211152,6.759514314099367e-10,8.999142607900632e-06
6.906074513426358e-10,1.08272483046795,6.906074513426358e-10,8.690257292198309e-06
7.060247633537711e-10,1.079198308402805,7.060247633537711e-10,8.359187157941071e-06
7.204956328175151e-10,1.07597788835445,7.204956328175151e-10,8.046293790024447e-06
7.35013658621565e-10,1.072816842812305,7.35013658621565e-10,7.731475962741961e-06
7.501561161302572e-10,1.069579411885655,7.501561161302572e-10,7.402291359796336e-06
7.664868039822396e-10,1.066141589847438,7.664868039822396e-10,7.0461279714423e-06
7.846710485572699e-10,1.062363650666168,7.846710485572699e-10,6.647932773287727e-06
8.053373428284777e-10,1.058116601968899,8.053373428284777e-10,6.193377715202115e-06
8.292649960633097e-10,1.053240006222549,8.292649960633097e-10,5.664960153187175e-06
8.553009261557808e-10,1.047960495476252,8.553009261557808e-10,5.088455821619417e-06
8.832457570431806e-10,1.04230257379891,8.832457570431806e-10,4.469027688098609e-06
9.135035350548828e-10,1.036167013397625,9.135035350548828e-10,3.798234681595544e-06
9.464683307261249e-10,1.029456957578866,9.464683307261249e-10,3.067484761182206e-06
9.732341653630626e-10,1.023984609442619,9.732341653630626e-10,2.474320531031044e-06
1e-09,1.018489360004869,1e-09,1.881363074774784e-06
1.003578914476388e-09,1.017297428375461,1.003578914476388e-09,1.716215838226605e-06
1.006733157336472e-09,1.016466880363174,1.006733157336472e-09,1.661100057139022e-06
1.009521905344212e-09,1.015868544368803,1.009521905344212e-09,1.609764961252062e-06
1.01290266175868e-09,1.01522744257349,1.01290266175868e-09,1.546076697342626e-06
1.015791743784212e-09,1.014711265279807,1.015791743784212e-09,1.49143084130525e-06
1.019101261451404e-09,1.014130841614379,1.019101261451404e-09,1.429146198934792e-06
1.022301248514221e-09,1.013573421568793,1.022301248514221e-09,1.369389465870613e-06
1.025501235577038e-09,1.013018359387316,1.025501235577038e-09,1.310102478888504e-06
1.031901209702672e-09,1.011922841982444,1.031901209702672e-09,1.193546135182773e-06
1.04470115795394e-09,1.009761066438652,1.04470115795394e-09,9.638835269678867e-07
1.056269076473933e-09,1.007844352409459,1.056269076473933e-09,7.606212037451145e-07
1.07940491351392e-09,1.004109670816347,1.07940491351392e-09,3.654149631380461e-07
1.093915821084786e-09,1.001829227079652,1.093915821084786e-09,1.246686327713447e-07
1.101178532149967e-09,1.00070462829411,1.101178532149967e-09,6.110478360562252e-09
1.104813519951984e-09,1.000145756870243,1.104813519951984e-09,-5.27659487365588e-08
1.105723630706862e-09,1.000006237068729,1.105723630706862e-09,-6.745981942380015e-08
1.106051095646302e-09,0.9999567125777057,1.106051095646302e-09,-9.383741612782952e-08
1.106162025305827e-09,0.9999399706589759,1.106162025305827e-09,-9.54342893222792e-08
1.106383884624877e-09,0.9999064671729974,1.106383884624877e-09,-9.819164974976013e-08
1.106827603262978e-09,0.9998393860970526,1.106827603262978e-09,-1.053465522330924e-07
1.107715040539179e-09,0.9997049981580911,1.107715040539179e-09,-1.196801858224385e-07
1.109489915091581e-09,0.9994357449385673,1.109489915091581e-09,-1.481973765388336e-07
1.113039664196386e-09,0.9988971308480722,1.113039664196386e-09,-2.048482613655742e-07
1.120139162405995e-09,0.9978243701321053,1.120139162405995e-09,-3.170300294111715e-07
1.133569053989173e-09,0.9958173853619212,1.133569053989173e-09,-5.258158190927444e-07
