/Vcmp X,/Vcmp Y,/CLK X,/CLK Y
0,0.0118431794182257,0,0
1e-10,0.01184317953908975,1e-10,0
3e-10,0.01184317967697911,3e-10,0
6.489796056846508e-10,0.01184317986906349,6.489796056846508e-10,0
1.346938817053952e-09,0.01184318013575684,1.346938817053952e-09,0
2.346938817053953e-09,0.01184318034376857,2.346938817053953e-09,0
3.346938817053953e-09,0.01184318043457211,3.346938817053953e-09,0
4.346938817053952e-09,0.01184318046823007,4.346938817053952e-09,0
5.346938817053952e-09,0.01184318047773808,5.346938817053952e-09,0
6.346938817053952e-09,0.01184318047868702,6.346938817053952e-09,0
7.346938817053952e-09,0.01184318047744798,7.346938817053952e-09,0
8.346938817053952e-09,0.01184318047616683,8.346938817053952e-09,0
9.173469408526976e-09,0.01184318047543231,9.173469408526976e-09,0
1e-08,0.01184318047499129,1e-08,0
1.00625e-08,0.01184346707154276,1.00625e-08,0.0001156557107611089
1.011401493903663e-08,0.01184407014975367,1.011401493903663e-08,0.0003848558437643534
1.016192954988668e-08,0.01184530050957835,1.016192954988668e-08,0.0007762105750604986
1.02577587715868e-08,0.01185138614490766,1.02577587715868e-08,0.00196612251416628
1.044941721498703e-08,0.01188825969699174,1.044941721498703e-08,0.005970336989467362
1.064835516936799e-08,0.01197770751697005,1.064835516936799e-08,0.01240351923493133
1.083684058426139e-08,0.01212850463947634,1.083684058426139e-08,0.02061596158179357
1.100542636718196e-08,0.01233370766205305,1.100542636718196e-08,0.02968299607624236
1.115399543149416e-08,0.01258275803749519,1.115399543149416e-08,0.03900023293958943
1.128620433922023e-08,0.01286913222689121,1.128620433922023e-08,0.04831964787314502
1.14052456586585e-08,0.0131886173487317,1.14052456586585e-08,0.05752550901138076
1.151313468381857e-08,0.01353693341783824,1.151313468381857e-08,0.06652463675460485
1.161145981657468e-08,0.01391045640823795,1.161145981657468e-08,0.07526004512584583
1.171166364368454e-08,0.0143546191219183,1.171166364368454e-08,0.08467739883758196
1.17986076119301e-08,0.01479912957656886,1.17986076119301e-08,0.09326266062343891
1.188510446997501e-08,0.01530376041524447,1.188510446997501e-08,0.1021789100060881
1.196399277859084e-08,0.01582559657001855,1.196399277859084e-08,0.1106315281587655
1.203850928944198e-08,0.0163797215900258,1.203850928944198e-08,0.1188918551160209
1.210811783672894e-08,0.01695801863432901,1.210811783672894e-08,0.1268463890772767
1.217365268718895e-08,0.01756278908991885,1.217365268718895e-08,0.1345422558595701
1.223547748939258e-08,0.01819352623900212,1.223547748939258e-08,0.1419833574636407
1.229411219202888e-08,0.01885218695004362,1.229411219202888e-08,0.1492001876998482
1.235001174835115e-08,0.01954135345218826,1.235001174835115e-08,0.1562228334101576
1.240365601872982e-08,0.0202653758433036,1.240365601872982e-08,0.1630908629921069
1.245553974908334e-08,0.02103063793147546,1.245553974908334e-08,0.1698515582465742
1.250620878432318e-08,0.02184660985682825,1.250620878432318e-08,0.1765642849059146
1.255630036825077e-08,0.02272742802759391,1.255630036825077e-08,0.183305980043261
1.260662215168977e-08,0.02369493260735084,1.260662215168977e-08,0.1901825569329066
1.265830823722277e-08,0.02478488010528667,1.265830823722277e-08,0.1973521770606327
1.275720704092321e-08,0.02719286416510839,1.275720704092321e-08,0.2113651767820789
1.285680614591154e-08,0.03012547469699563,1.285680614591154e-08,0.2258564992502224
1.295178050757787e-08,0.03349004082135421,1.295178050757787e-08,0.2400163095326077
1.304615400431795e-08,0.03748556765864475,1.304615400431795e-08,0.2544039805705188
1.313945865267854e-08,0.04217882560745501,1.313945865267854e-08,0.2689273717404143
1.323401261347374e-08,0.04779300846016659,1.323401261347374e-08,0.2839353512572245
1.333245057429998e-08,0.05466096452256945,1.333245057429998e-08,0.2998559082387682
1.337841190874645e-08,0.05824513140607407,1.337841190874645e-08,0.307388551461398
1.34703345776394e-08,0.06619124724439175,1.34703345776394e-08,0.3226352711433434
1.35186583585276e-08,0.07079501043506879,1.35186583585276e-08,0.3307440475995745
1.361530592030399e-08,0.08091133286218437,1.361530592030399e-08,0.3471458831358247
1.368348928288092e-08,0.08878238556062472,1.368348928288092e-08,0.3588582509277333
1.376293135829515e-08,0.09871771345953957,1.376293135829515e-08,0.3726437888197485
1.384191214042824e-08,0.1094007369076154,1.384191214042824e-08,0.3864896714976899
1.392479594851364e-08,0.1214532773860584,1.392479594851364e-08,0.401160977212216
1.400682316675621e-08,0.1341947915656617,1.400682316675621e-08,0.4158134170305078
1.410155168874268e-08,0.1498492269934673,1.410155168874268e-08,0.4328862291335524
1.420840479536043e-08,0.1686087679443378,1.420840479536043e-08,0.452321080026483
1.429940532181351e-08,0.1854224271975554,1.429940532181351e-08,0.4690046628407951
1.445671879635603e-08,0.2160528958605744,1.445671879635603e-08,0.498090373492405
1.458054457312407e-08,0.2414030177717807,1.458054457312407e-08,0.5211631430465979
1.467009428720913e-08,0.2603457641301058,1.467009428720913e-08,0.537925510172119
1.484919371537925e-08,0.2995248351386467,1.484919371537925e-08,0.5715843181300843
1.493767341432277e-08,0.3194628736587771,1.493767341432277e-08,0.5882524660699457
1.511463281220983e-08,0.3602971288052206,1.511463281220983e-08,0.6216031057041003
1.522727191102625e-08,0.3868797886102772,1.522727191102625e-08,0.6428033564527154
1.532143547991031e-08,0.4094074929267694,1.532143547991031e-08,0.6604862382049264
1.550976261767844e-08,0.4551165019459501,1.550976261767844e-08,0.6956777887594112
1.567432573423697e-08,0.4956110913211139,1.567432573423697e-08,0.7261588039190483
1.579788738389692e-08,0.5262591603616871,1.579788738389692e-08,0.748828191483905
1.590774623820166e-08,0.5536128936658965,1.590774623820166e-08,0.7687963216306153
1.601230567809448e-08,0.579680217024407,1.601230567809448e-08,0.7876148436555017
1.610512406757248e-08,0.6028035783519277,1.610512406757248e-08,0.8041512512627365
1.620309048767906e-08,0.6271437351483408,1.620309048767906e-08,0.8214162623935968
1.630402785011472e-08,0.6520970218311948,1.630402785011472e-08,0.8389853319719538
1.638812641617125e-08,0.6727504488557133,1.638812641617125e-08,0.8534406927494316
1.65563235482843e-08,0.7134909927739799,1.65563235482843e-08,0.8818107478072459
1.669808819083563e-08,0.7470657006383964,1.669808819083563e-08,0.9051146108953503
1.682399026919712e-08,0.7761503251244024,1.682399026919712e-08,0.9253050108105444
1.692340112305617e-08,0.7985462573737089,1.692340112305617e-08,0.9408891390258045
1.702202638739478e-08,0.8202037905235789,1.702202638739478e-08,0.9560216194425289
1.711304649000014e-08,0.8396507544627408,1.711304649000014e-08,0.9696842913573536
1.720489880618206e-08,0.8587129380540276,1.720489880618206e-08,0.983165435041979
1.729910072047546e-08,0.8776444729469252,1.729910072047546e-08,0.9966599518858441
1.739972607247749e-08,0.8971463391954806,1.739972607247749e-08,1.01069062238167
1.748493794159541e-08,0.9130626280451266,1.748493794159541e-08,1.022251757550916
1.765536167983125e-08,0.9432000121163339,1.765536167983125e-08,1.044458209111401
1.778493959659858e-08,0.9645860194646767,1.778493959659858e-08,1.060493246419939
1.789283824581904e-08,0.9813842335503622,1.789283824581904e-08,1.073264408842203
1.802879825578159e-08,1.001254233758235,1.802879825578159e-08,1.088580987358736
1.820186525363774e-08,1.024498066686352,1.820186525363774e-08,1.106785060741973
1.837414711148912e-08,1.045431541627394,1.837414711148912e-08,1.123419031918429
1.854691284000019e-08,1.06431726889168,1.854691284000019e-08,1.138560284463278
1.872674381586083e-08,1.081868437945012,1.872674381586083e-08,1.152635375001555
1.890117497128346e-08,1.096980654463615,1.890117497128346e-08,1.164603445524794
1.906967106744463e-08,1.109929273355464,1.906967106744463e-08,1.174555126030414
