out X,out Y
0,2.301965897228146e-05
1e-08,2.301969058456135e-05
3e-08,2.301975057031519e-05
5.687497313875247e-08,2.301982880236348e-05
1e-07,2.30199361174573e-05
1.000163025148354e-07,2.322319702036536e-05
1.0002850410168e-07,2.337218820004038e-05
1.000529072753693e-07,2.366603587439023e-05
1.001017136227478e-07,2.425049364424088e-05
1.001993263175049e-07,2.541591792154994e-05
1.003945517070191e-07,2.772932459757731e-05
1.007850024860475e-07,3.223269242466361e-05
1.01320768782884e-07,3.771417399179926e-05
1.017391963787642e-07,4.05344959881988e-05
1.020781422893783e-07,4.054981606689445e-05
1.024279972790381e-07,3.494563085862275e-05
1.028043462843818e-07,1.076508289501647e-05
1.030153322280945e-07,-1.930571029012288e-05
1.032199269990869e-07,-7.114010912557786e-05
1.033870934212862e-07,-0.0001402803829912092
1.035073973983895e-07,-0.0002111736989992897
1.036069134352876e-07,-0.000287165601558206
1.037454763690638e-07,-0.0004263349490783076
1.038514082761322e-07,-0.0005634152083794917
1.039421786449512e-07,-0.000705344021778702
1.04040903435428e-07,-0.0008890129711771403
1.041512336236679e-07,-0.001134863832403615
1.042644125867938e-07,-0.001436248849953471
1.043652542321417e-07,-0.001750151534572442
1.044509216333587e-07,-0.002052466934480475
1.04531304904165e-07,-0.002367511970334903
1.046181943512074e-07,-0.002743998155869975
1.047023794323638e-07,-0.003145816312118571
1.047828389092709e-07,-0.003564923010035794
1.048771621529163e-07,-0.004100808272166133
1.049962533195297e-07,-0.004846854891611102
1.051458462073759e-07,-0.005893393609318574
1.053226695696067e-07,-0.007283629308323846
1.055302611537372e-07,-0.009116772343959752
1.057773638670949e-07,-0.01156050630522774
1.060730636308988e-07,-0.01482537019414292
1.063955396067543e-07,-0.0187723279829789
1.067606423472047e-07,-0.02368623545513712
1.071786785123159e-07,-0.0298391539288047
1.076392274600853e-07,-0.03719271201289354
1.081218765686492e-07,-0.0454450135468777
1.086143718999867e-07,-0.05431854340047227
1.091142409998823e-07,-0.06364996311333342
1.096214033543737e-07,-0.07328966184081884
1.1e-07,-0.0805037522197808
1.100935148915742e-07,-0.0822493591787697
1.101793973359687e-07,-0.08382958490887761
1.102749472407408e-07,-0.08555278766979603
1.104660470502851e-07,-0.08888198493412854
1.108482466693737e-07,-0.09509236205214321
1.113133421771095e-07,-0.1019077216055946
1.118302700642631e-07,-0.1086246480575033
1.124383302891597e-07,-0.115513863041714
1.130939884111478e-07,-0.1218850598118817
1.137745280270968e-07,-0.1275105943773239
1.144870053493916e-07,-0.1324943804949274
1.152363653557837e-07,-0.1369044151681776
1.160209226698778e-07,-0.1407680642477993
1.168418366423707e-07,-0.1441362729350645
1.177424357147602e-07,-0.1471923579156254
1.187169320630448e-07,-0.1498993358923691
1.197730780230396e-07,-0.152280489554443
1.209256117984556e-07,-0.1543715284666363
1.221921224245733e-07,-0.1562028900945712
1.23598241846222e-07,-0.1578031677053259
1.251791428615323e-07,-0.1591918941547687
1.269837478970555e-07,-0.1603736796478382
1.290822621666863e-07,-0.1613291868137293
1.315777488207975e-07,-0.1619987865992747
1.346187314593692e-07,-0.1622525185031154
1.382393128909363e-07,-0.1618776226880713
1.425899827816496e-07,-0.1606064956214963
1.479706315622267e-07,-0.1580136954610522
1.537429804258272e-07,-0.1542291237146111
1.590710406545481e-07,-0.1500201512622132
1.617178456042715e-07,-0.1477191843133716
1.643709056288905e-07,-0.1453049092657125
1.664885080935774e-07,-0.1433129531205276
1.682549591806709e-07,-0.141615850025976
1.693955396941193e-07,-0.1405071988334001
1.704890484912738e-07,-0.1394379999098185
1.716632973978582e-07,-0.1382850044257894
1.729971211266199e-07,-0.1369699397570238
1.744434851507373e-07,-0.1355365616696784
1.759955049356904e-07,-0.1339881744982992
1.774090193691944e-07,-0.1325676659601035
1.789059607473321e-07,-0.1310526893244082
1.807424957000092e-07,-0.1291812245214166
1.830397247572749e-07,-0.1268261572286352
1.85836028607746e-07,-0.1239481053206616
1.88667173110302e-07,-0.1210318341898592
1.920719646796451e-07,-0.1175361909661569
1.968599577570105e-07,-0.1126646694981814
2.058455537270523e-07,-0.1037469916512758
2.111663683309705e-07,-0.09863807943046876
2.174665843634297e-07,-0.09278854182239853
2.234384215371837e-07,-0.08746303846946631
2.296760221905891e-07,-0.08214123915752782
2.359977254994306e-07,-0.07700567207730376
2.425406990263258e-07,-0.07196618083625921
2.493142269533967e-07,-0.06704260182479646
2.563823760569848e-07,-0.06221685050811643
2.637918975653182e-07,-0.05748945792117395
2.716041118159952e-07,-0.0528573623667065
2.798851059624491e-07,-0.04832193697606485
2.887133809339039e-07,-0.04388573217305829
2.981812035487568e-07,-0.03955370822064953
3.083997473426812e-07,-0.0353329329773448
3.175766018669665e-07,-0.03191274659882851
3.297526662675551e-07,-0.02785971360972882
3.406751815262765e-07,-0.02464962724227637
3.515978057132583e-07,-0.02179933837374791
3.636200285664972e-07,-0.01903052183448181
3.765824933151294e-07,-0.01642569389258293
3.906108794618377e-07,-0.01399369373502187
4.060358563374225e-07,-0.01171792894779794
4.231106280930909e-07,-0.009609518304078662
4.421368713089306e-07,-0.007681269750266656
4.635334570150861e-07,-0.005942180623044278
4.878399351560143e-07,-0.004401167564014843
5.157743463014725e-07,-0.003065423200315839
5.483369874273344e-07,-0.001938452347940521
5.869751107776526e-07,-0.001018761268513213
6.326804692284563e-07,-0.0003138446069214212
6.849384148694359e-07,0.0001795259739287953
7.457392984505188e-07,0.000515783361641429
8.182253887597271e-07,0.0007442708100168876
9.07504594822824e-07,0.0009062112659661332
1.007504594822824e-06,0.00101850696083573
1.107504594822824e-06,0.001097596313648386
1.207504594822824e-06,0.001159548313872666
1.307504594822824e-06,0.001210278078894492
1.407504594822825e-06,0.001252212466762587
1.507504594822825e-06,0.001286824255718481
1.607504594822825e-06,0.001315346709473807
1.707504594822825e-06,0.00133888112297091
1.807504594822825e-06,0.001358376737851817
1.907504594822825e-06,0.001374619103774073
2.007504594822825e-06,0.001388242145056971
2.107504594822825e-06,0.001399751976118879
2.207504594822825e-06,0.001409552003643633
2.307504594822825e-06,0.001417964591713179
2.407504594822825e-06,0.001425248290599262
2.507504594822824e-06,0.001431611164326188
2.607504594822824e-06,0.001437221089622376
2.707504594822824e-06,0.001442213789080905
2.807504594822824e-06,0.001446699164051124
2.907504594822824e-06,0.00145076632865285
3.007504594822824e-06,0.001454487633032122
3.107504594822824e-06,0.001457921889490101
3.207504594822824e-06,0.001461116964863918
3.307504594822824e-06,0.001464111866809831
3.407504594822823e-06,0.001466938424955703
3.507504594822823e-06,0.001469622647172622
3.607504594822823e-06,0.001472185814981466
3.707504594822823e-06,0.001474645369206876
3.807504594822823e-06,0.001477015626775573
3.907504594822823e-06,0.001479308361405306
4.007504594822823e-06,0.001481533274467367
4.107504594822823e-06,0.001483698377130693
4.207504594822823e-06,0.001485810300757462
4.307504594822822e-06,0.001487874549232122
4.407504594822822e-06,0.001489895704247152
4.507504594822822e-06,0.001491877592448277
4.607504594822822e-06,0.001493823421625805
4.707504594822822e-06,0.001495735891768058
4.807504594822822e-06,0.001497617285686745
4.907504594822822e-06,0.001499469543025012
5.007504594822822e-06,0.001501294320741194
5.09e-06,0.001502779923397857
5.090916458543612e-06,0.001479074660168769
5.091750878398465e-06,0.001460433662270469
5.092419527846376e-06,0.001447303010601272
5.093164204178018e-06,0.001433704927614145
5.093824678678206e-06,0.001422506988627002
5.094555549442318e-06,0.001414046069231999
5.094875637857272e-06,0.001412811541053887
5.095201517338016e-06,0.001414150471034525
5.095358649479265e-06,0.001416137730370121
5.095517447180937e-06,0.001419572338068303
5.095647162778525e-06,0.001424070471193026
5.095740918210422e-06,0.001428543851902432
5.095834887303879e-06,0.001434003883859038
5.095927325520946e-06,0.001440115457565837
5.096019929460168e-06,0.001446757981233032
5.096111915558363e-06,0.001453702373907082
5.096211174028249e-06,0.001461432231888574
5.096320892498541e-06,0.00147009297129218
5.096436194533677e-06,0.001479085195640457
5.096544498760089e-06,0.001487082882030116
5.096636679119246e-06,0.001493213067573064
5.096718626757489e-06,0.001498023258802257
5.096822955803795e-06,0.001503452515357496
5.096926059103369e-06,0.001508323485970259
5.097016174395975e-06,0.00151232363427405
5.09711756125978e-06,0.001516629761462218
5.09724270933719e-06,0.001521731798767889
5.097399553283565e-06,0.001527869819578711
5.097583614281689e-06,0.001534785605760418
5.097796295229989e-06,0.001542456208467301
5.098047254028435e-06,0.001551120526295471
5.098348780432452e-06,0.001561030119919602
5.098708672293667e-06,0.001572230769031355
5.099099777829563e-06,0.001583820507667199
5.099463863412421e-06,0.00159429260002009
5.099731931706211e-06,0.001601908851401439
5.1e-06,0.00160948796008748
5.100059057455135e-06,0.001611882729888763
5.100121472197397e-06,0.001614404330768393
5.100198267612169e-06,0.001617503402024213
5.100351858441712e-06,0.001623696442208966
5.100659040100799e-06,0.001636061727363641
5.101273403418973e-06,0.001660713215745073
5.10250213005532e-06,0.001709726352671977
5.104959583328015e-06,0.001806694784958341
5.109874489873405e-06,0.001996582341249467
5.119704302964184e-06,0.002359259407687571
5.139363929145742e-06,0.003007150132572394
5.169889948685319e-06,0.00378791562469379
5.2e-06,0.004287519026448314
5.200015833393126e-06,0.004287786820114906
5.200027780956998e-06,0.004287987028875197
5.200051676084741e-06,0.004288385315045861
5.200099466340229e-06,0.004289180250494079
5.200195046851203e-06,0.004290767114476197
5.200386207873151e-06,0.004293926706495658
5.200768529917048e-06,0.004300166573537977
5.201308908724429e-06,0.00430862224587676
5.20173099819285e-06,0.004314579635109674
5.202070067279684e-06,0.004318504195458444
5.20241857225922e-06,0.004320619513892595
5.202795219433495e-06,0.004316730762540083
5.203006825931356e-06,0.004308734085088657
5.203212292193087e-06,0.004292556645679618
5.203378782236038e-06,0.004269054123526243
5.203498398193248e-06,0.004243547519216463
5.203595970200317e-06,0.004215474001726188
5.203732646306187e-06,0.004161250237652256
5.203835124947234e-06,0.004106530548728694
5.20392390036446e-06,0.004047205578656192
5.204022480777171e-06,0.003965613733493998
5.204134633867047e-06,0.003848807286951813
5.204249354819972e-06,0.003698397971954075
5.204350978136044e-06,0.003535380248183322
5.204437327871836e-06,0.003372402158733641
5.20451817198782e-06,0.003197442113074876
5.204607043618911e-06,0.002977842948756065
5.20469223742449e-06,0.00273854043576146
5.204773529262654e-06,0.002482291441771518
5.204868856365173e-06,0.002145068806534692
5.204988446997761e-06,0.001662902548618067
