/vout X,/vout Y,/dac_out X,/dac_out Y,/I5/PM0/D X,/I5/PM0/D Y,/I5/vbody X,/I5/vbody Y
5.820300282327213e-10,0.9904066855632745,5.820300282327213e-10,0,5.820300282327213e-10,1.535335087996081e-05,5.820300282327213e-10,0.4630131330548748
5.915638970462406e-10,0.9896460916765755,5.915638970462406e-10,0,5.915638970462406e-10,1.650830301959968e-05,5.915638970462406e-10,0.4601826623102673
6.006756037037381e-10,0.9889574403023303,6.006756037037381e-10,0,6.006756037037381e-10,1.746107408477117e-05,6.006756037037381e-10,0.45797424628107
6.087709477513564e-10,0.9883770422958863,6.087709477513564e-10,0,6.087709477513564e-10,1.820915650677018e-05,6.087709477513564e-10,0.4563428812514727
6.162593039114503e-10,0.9878651950964422,6.162593039114503e-10,0,6.162593039114503e-10,1.88322973684495e-05,6.162593039114503e-10,0.4550728038464791
6.236570126782125e-10,0.9873789719568716,6.236570126782125e-10,0,6.236570126782125e-10,1.939786628697223e-05,6.236570126782125e-10,0.4540114795499793
6.316920467921401e-10,0.9868624672774876,6.316920467921401e-10,0,6.316920467921401e-10,1.998598742213052e-05,6.316920467921401e-10,0.4530321691587081
6.426433356558675e-10,0.9861461007119269,6.426433356558675e-10,0,6.426433356558675e-10,2.08264425506954e-05,6.426433356558675e-10,0.4518841935295466
6.489237357512083e-10,0.9856987272744566,6.489237357512083e-10,0,6.489237357512083e-10,2.143322160338115e-05,6.489237357512083e-10,0.4512668341360843
6.552491730602511e-10,0.9851824666045248,6.552491730602511e-10,0,6.552491730602511e-10,2.219561882006722e-05,6.552491730602511e-10,0.4505587780827565
6.606405467668719e-10,0.9846588375165511,6.606405467668719e-10,0,6.606405467668719e-10,2.295454470341491e-05,6.606405467668719e-10,0.4496985563366204
6.64557703114206e-10,0.9842358013794964,6.64557703114206e-10,0,6.64557703114206e-10,2.350719901954858e-05,6.64557703114206e-10,0.4488725056792707
6.683792928843774e-10,0.9838049794089451,6.683792928843774e-10,0,6.683792928843774e-10,2.408021365186134e-05,6.683792928843774e-10,0.4479666633717829
6.729060705124723e-10,0.9833009575332675,6.729060705124723e-10,0,6.729060705124723e-10,2.473254397070815e-05,6.729060705124723e-10,0.4469076704864431
6.77152864307186e-10,0.9828571406877638,6.77152864307186e-10,0,6.77152864307186e-10,2.525919580571991e-05,6.77152864307186e-10,0.4460284269982723
6.818533974944911e-10,0.9824153892632365,6.818533974944911e-10,0,6.818533974944911e-10,2.571202645580273e-05,6.818533974944911e-10,0.4452454448207743
6.871325422730556e-10,0.981987115981299,6.871325422730556e-10,0,6.871325422730556e-10,2.606658269303955e-05,6.871325422730556e-10,0.4446190407298964
6.928901588415954e-10,0.9815975323316172,6.928901588415954e-10,0,6.928901588415954e-10,2.629629063837724e-05,6.928901588415954e-10,0.4442148880592161
6.993460713461185e-10,0.9812458356433345,6.993460713461185e-10,0,6.993460713461185e-10,2.639805187758487e-05,6.993460713461185e-10,0.4440528325641363
7.061103687796797e-10,0.9809620599682057,7.061103687796797e-10,0,7.061103687796797e-10,2.636471153260898e-05,7.061103687796797e-10,0.4441549193611245
7.133930160675791e-10,0.9807432730714948,7.133930160675791e-10,0,7.133930160675791e-10,2.619798587038046e-05,7.133930160675791e-10,0.444526943838204
7.216909578729316e-10,0.980594804739787,7.216909578729316e-10,0,7.216909578729316e-10,2.586557261641831e-05,7.216909578729316e-10,0.4452458031002531
7.314089044888251e-10,0.980547670703479,7.314089044888251e-10,0,7.314089044888251e-10,2.530331345444912e-05,7.314089044888251e-10,0.4464634662664819
7.424812094207869e-10,0.9806448126808363,7.424812094207869e-10,0,7.424812094207869e-10,2.445941897141446e-05,7.424812094207869e-10,0.4483270088696491
7.538269763148786e-10,0.980887739960247,7.538269763148786e-10,0,7.538269763148786e-10,2.34030950078634e-05,7.538269763148786e-10,0.4507409385679257
