/vo X,/vo Y
0,0.00152582438688404
3.565261413881865e-11,0.001528012052457151
6.434686284520808e-11,0.001529778008497326
1.21735360257987e-10,0.001533315221979558
2.365123550835447e-10,0.001540378684886428
4.59167184113218e-10,0.001553771770838172
6.667282756923975e-10,0.001565571084817681
8.638191699758878e-10,0.00157587122876472
1.067801578296089e-09,0.001585330974703078
1.281216161566887e-09,0.001593669243127302
1.512581514104017e-09,0.001600663894885731
1.771082896408586e-09,0.001605721972893335
2.069456145578143e-09,0.001607716552517802
2.434549892295094e-09,0.001604396481815221
2.960522028387634e-09,0.001588761811962716
3.382139693816493e-09,0.00156773901133536
3.796766806951408e-09,0.00154103627406354
4.15387302060485e-09,0.001514772232161295
4.455845396801285e-09,0.001491549576048422
4.732897365279224e-09,0.001470380224352217
4.959952322217084e-09,0.001453447036119034
5.188296242169903e-09,0.00143685157701502
5.490955119108866e-09,0.001415395731310214
5.795783870741795e-09,0.001394163092703207
6.124257064643366e-09,0.00137148252415367
6.474104034335365e-09,0.00134740703229003
6.857520142581772e-09,0.001321052555354591
7.294329172349975e-09,0.001291097796018054
7.80048082296257e-09,0.001256639370151201
8.390178509979191e-09,0.001217167089950095
9.033170477727434e-09,0.00117543318871375
9.516585238863716e-09,0.00114523230625475
1e-08,0.001116265758635385
1.007738451946988e-08,0.001109646000857957
1.01600750862795e-08,0.001102586425653823
1.026933693711501e-08,0.001093292824483799
1.048786063878604e-08,0.001074858327838278
1.09249080421281e-08,0.001038776077158641
1.136458492793169e-08,0.001003745759522053
1.184665340396429e-08,0.0009670433983938686
1.241141309730638e-08,0.0009266008063170615
1.309903694779983e-08,0.0008814567496858567
1.401134357902404e-08,0.0008291510298172861
1.539653597093278e-08,0.0007680141344533244
1.816692075475025e-08,0.0007223320184388428
2.112450125466873e-08,0.0008034019109921496
2.419394568523253e-08,0.001049692431117814
2.738197667897408e-08,0.00150108598218955
3.068323240273284e-08,0.002198917943060441
3.418102477860768e-08,0.003215357270189789
3.791427527225583e-08,0.004638068321765237
4.189582135212719e-08,0.006566357250830717
4.613368197515691e-08,0.009115790173043608
5.062817621608236e-08,0.01241653719647871
5.537404789004393e-08,0.0166135461884646
6.036059597004097e-08,0.0218655519783539
6.557208341672268e-08,0.0283437675622067
7.099097362286871e-08,0.0362342930468328
7.66033179669195e-08,0.04574731478279041
8.240732466597218e-08,0.05713964848360958
8.843100203531553e-08,0.07077129322954644
