/out X,/out Y
0,2.336046600498989e-05
1e-08,2.336038270088294e-05
3e-08,2.336034122116499e-05
5.181995391714464e-08,2.336033791236191e-05
7.590997695857233e-08,2.336035161775145e-05
1e-07,2.336036258634245e-05
1.000152894348186e-07,2.353798034837681e-05
1.00026940386178e-07,2.36703374337613e-05
1.000502422888968e-07,2.393077418695299e-05
1.000968460943345e-07,2.444705179667952e-05
1.001900537052098e-07,2.547070940102275e-05
1.003764689269604e-07,2.748032196533602e-05
1.007492993704618e-07,3.131079376809486e-05
1.012909963253032e-07,3.607436577859682e-05
1.017180131148047e-07,3.836634469986454e-05
1.020587072587646e-07,3.81068238009262e-05
1.024059809156151e-07,3.29861368513985e-05
1.027831224640224e-07,1.174506156256091e-05
1.029994859948718e-07,-1.556477388542196e-05
1.032091355103615e-07,-6.341422041245944e-05
1.033797325827052e-07,-0.0001275848524475563
1.035020865626947e-07,-0.0001935479408046565
1.036019280821072e-07,-0.0002634599363547502
1.037329818675936e-07,-0.0003830471134724532
1.03840296773195e-07,-0.0005086172002497194
1.039314186587217e-07,-0.0006378049011010427
1.040294768757816e-07,-0.0008033039246607728
1.041392996599776e-07,-0.001025354450289841
1.04252905792148e-07,-0.001300308575365162
1.043551547570343e-07,-0.001590561107245083
1.044420926979865e-07,-0.001871399496009488
1.045222088496872e-07,-0.002159570687953425
1.046349265231084e-07,-0.002616148278241322
1.047243616617476e-07,-0.003023178960589274
1.048034168808881e-07,-0.003417469557442319
1.048977957517995e-07,-0.003932403047926323
1.050243226688852e-07,-0.004701504546803442
1.051811112855369e-07,-0.005785603921100032
1.053644166200184e-07,-0.007246901564414932
1.055791715711884e-07,-0.0092422466530078
1.05835506330453e-07,-0.01205742618687773
1.061047942155576e-07,-0.01556921265373409
1.063777890154006e-07,-0.01975916028726214
1.066672559644114e-07,-0.02494169013231024
1.069956835312842e-07,-0.03177893673344778
1.074025941269105e-07,-0.04165231475136998
1.077830751219084e-07,-0.05220093983212837
1.081250162982945e-07,-0.06262683006670688
1.084428475007104e-07,-0.07295305508769274
1.087499938877251e-07,-0.08333237542971018
1.090632293033546e-07,-0.09411978794190302
1.093820050743996e-07,-0.1050887272605203
1.097071800287089e-07,-0.1160380895739737
1.1e-07,-0.1255139149647166
1.10079588674919e-07,-0.1279527574875522
1.101522759841254e-07,-0.1301303023016826
1.102340740321655e-07,-0.1325030455225599
1.103976701282458e-07,-0.1369838372921217
