/vout X,/vout Y,/I5/PM0/D X,/I5/PM0/D Y
2.719724670368319e-10,1.193012294598933,2.719724670368319e-10,4.941229129847688e-08
2.881947420957913e-10,1.191367680620393,2.881947420957913e-10,5.8494574778265e-08
3.044270247859737e-10,1.189620327070823,3.044270247859737e-10,6.874232602690023e-08
3.217756629201015e-10,1.187657773100752,3.217756629201015e-10,8.116474391337948e-08
3.418691408747081e-10,1.185273891468656,3.418691408747081e-10,9.789948019343092e-08
3.655499388500139e-10,1.182308786662482,3.655499388500139e-10,1.219634675942603e-07
3.863301912324941e-10,1.179546540160608,3.863301912324941e-10,1.485806544622194e-07
4.051514662208173e-10,1.176891299181387,4.051514662208173e-10,1.787687531218397e-07
4.245764935464819e-10,1.173966203812845,4.245764935464819e-10,2.189960779041857e-07
4.439317636479618e-10,1.170836622769891,4.439317636479618e-10,2.752767437257752e-07
4.614122564700017e-10,1.167801786008767,4.614122564700017e-10,3.608365895274922e-07
4.751101168719896e-10,1.165236739380781,4.751101168719896e-10,4.951496153956447e-07
4.861785683269157e-10,1.162977532802727,4.861785683269157e-10,6.944924182013006e-07
4.970405106304745e-10,1.160512153772594,4.970405106304745e-10,9.908794055079221e-07
5.072652631987021e-10,1.157883126667812,5.072652631987021e-10,1.357989421900414e-06
5.172081940185302e-10,1.154971825260812,5.172081940185302e-10,1.754045683349607e-06
5.255271897443502e-10,1.152225188577079,5.255271897443502e-10,2.090227280744819e-06
5.352314225485711e-10,1.148603779687041,5.352314225485711e-10,2.511235353263462e-06
5.441801847576252e-10,1.144807396808776,5.441801847576252e-10,2.945061491197281e-06
5.519756023682867e-10,1.141099504870489,5.519756023682867e-10,3.365033540662788e-06
5.591521736181661e-10,1.137335496622086,5.591521736181661e-10,3.777902998732457e-06
5.662745974190045e-10,1.13328128629819,5.662745974190045e-10,4.188308075903488e-06
5.743969430160728e-10,1.128364600086913,5.743969430160728e-10,4.621511786096175e-06
5.805853890715485e-10,1.124528671641186,5.805853890715485e-10,4.906594064681216e-06
5.855964800868594e-10,1.121467212077355,5.855964800868594e-10,5.105169926560159e-06
5.900093538361462e-10,1.118876120872593,5.900093538361462e-10,5.254779965930783e-06
5.941785497333234e-10,1.116564918189922,5.941785497333234e-10,5.373274450471131e-06
5.986431109013816e-10,1.114267188508103,5.986431109013816e-10,5.474688729433496e-06
6.040496244661618e-10,1.11173964831138,6.040496244661618e-10,5.5622015543369e-06
6.117750816246894e-10,1.108562198214924,6.117750816246894e-10,5.624392204347193e-06
6.174906616182291e-10,1.106477106415067,6.174906616182291e-10,5.62926551297365e-06
6.225236930980084e-10,1.104780068728738,6.225236930980084e-10,5.609298675567664e-06
6.276809059864996e-10,1.10314192777261,6.276809059864996e-10,5.570904564651231e-06
6.332793618913815e-10,1.10145198247017,6.332793618913815e-10,5.514378316651848e-06
6.396934163529459e-10,1.099603588681825,6.396934163529459e-10,5.436684047161517e-06
6.471900630072988e-10,1.097535358089387,6.471900630072988e-10,5.335516148108729e-06
6.560286102621949e-10,1.095195028857676,6.560286102621949e-10,5.209909444857428e-06
6.663358273846072e-10,1.09256835677768,6.663358273846072e-10,5.06245891653855e-06
6.781852716512978e-10,1.089653290261333,6.781852716512978e-10,4.897223700718571e-06
6.92220263481672e-10,1.08631249248451,6.92220263481672e-10,4.709492602962007e-06
7.088341637317468e-10,1.082479793040112,7.088341637317468e-10,4.496439704748279e-06
7.238658727598009e-10,1.079102955400512,7.238658727598009e-10,4.309453141784798e-06
7.386779549839625e-10,1.075842711885432,7.386779549839625e-10,4.127509736570762e-06
7.540167645323801e-10,1.072522588769001,7.540167645323801e-10,3.939193812946697e-06
7.703846151698464e-10,1.069029008383473,7.703846151698464e-10,3.737076722213469e-06
7.885610574423066e-10,1.065194393732756,7.885610574423066e-10,3.510844513256652e-06
8.092461481123115e-10,1.060871188488261,8.092461481123115e-10,3.251650911805138e-06
8.332474608930766e-10,1.055888196785203,8.332474608930766e-10,2.950112949848859e-06
8.59710226169944e-10,1.050412366561624,8.59710226169944e-10,2.618857744398227e-06
8.881091301995911e-10,1.044534474101254,8.881091301995911e-10,2.266620475818955e-06
9.187806496512231e-10,1.038165328245241,9.187806496512231e-10,1.890675836929548e-06
9.52097324704619e-10,1.031208560546156,9.52097324704619e-10,1.487304566470376e-06
9.760486623523095e-10,1.026179604936583,9.760486623523095e-10,1.20045287026404e-06
1e-09,1.021126549387691,1e-09,9.160018352936525e-07
1.003306882188046e-09,1.019989380698634,1.003306882188046e-09,7.563765553214556e-07
1.006187741626151e-09,1.019189107325916,1.006187741626151e-09,7.893165071040587e-07
1.008771780995503e-09,1.01859831116067,1.008771780995503e-09,7.900824825476323e-07
1.01226058460157e-09,1.017899325030562,1.01226058460157e-09,7.686291578603705e-07
1.015067276623941e-09,1.017376339413311,1.015067276623941e-09,7.430304683169404e-07
1.018199304548245e-09,1.016806867040529,1.018199304548245e-09,7.122199416169176e-07
1.022215988167941e-09,1.016083441139094,1.022215988167941e-09,6.727587353291309e-07
1.02552718974435e-09,1.015490594680865,1.02552718974435e-09,6.407763448255376e-07
1.032149592897168e-09,1.014320936286734,1.032149592897168e-09,5.786396976330328e-07
1.045394399202804e-09,1.012012845810374,1.045394399202804e-09,4.565672375257405e-07
1.056851881866961e-09,1.010053222640698,1.056851881866961e-09,3.534923168733587e-07
1.079766847195274e-09,1.006230450314514,1.079766847195274e-09,1.535107558043472e-07
1.108031731492567e-09,1.001670695630319,1.108031731492567e-09,-8.295579439570996e-08
1.11589565596534e-09,1.000430852149836,1.11589565596534e-09,-1.468329767419214e-07
1.117864587534861e-09,1.000122298480539,1.117864587534861e-09,-1.627023337558838e-07
1.118603675408589e-09,1.000006660297036,1.118603675408589e-09,-1.686476098790966e-07
1.118919356321397e-09,0.9999587303747839,1.118919356321397e-09,-2.18663353501185e-07
1.119043539305579e-09,0.9999399721946228,1.119043539305579e-09,-2.196398699994632e-07
1.119291905273943e-09,0.9999023896191767,1.119291905273943e-09,-2.196845327837127e-07
1.119788637210671e-09,0.9998269781536023,1.119788637210671e-09,-2.242559042404116e-07
1.120782101084128e-09,0.9996753684447071,1.120782101084128e-09,-2.332070044081893e-07
1.122769028831041e-09,0.9993701897840911,1.122769028831041e-09,-2.501651028835379e-07
1.126742884324867e-09,0.9987569673071869,1.126742884324867e-09,-2.822443060996963e-07
1.134173073548898e-09,0.9976119250080725,1.134173073548898e-09,-3.39883584651392e-07
1.144677885735581e-09,0.9960059002768046,1.144677885735581e-09,-4.196442034213954e-07
1.161356216093391e-09,0.9934904714595477,1.161356216093391e-09,-5.438996528369355e-07
1.194291979776821e-09,0.9886376672381914,1.194291979776821e-09,-7.807452187536782e-07
1.249834190421066e-09,0.9807599868421423,1.249834190421066e-09,-1.155938015436313e-06
1.310321799307125e-09,0.972566905708156,1.310321799307125e-09,-1.533715285369415e-06
1.375774538521998e-09,0.9640974258336551,1.375774538521998e-09,-1.910789240659795e-06
1.449484849247505e-09,0.9549895545463284,1.449484849247505e-09,-2.300938934368795e-06
1.525777190161017e-09,0.9459863435917519,1.525777190161017e-09,-2.670986500719374e-06
1.610809629290162e-09,0.9364021680186813,1.610809629290162e-09,-3.047866787070153e-06
1.704446361323649e-09,0.9263402135312243,1.704446361323649e-09,-3.424729766280488e-06
1.808979513535608e-09,0.9156565415083462,1.808979513535608e-09,-3.803978734376906e-06
1.927910163051179e-09,0.9041388113129052,1.927910163051179e-09,-4.18901459688213e-06
2.02552718974435e-09,0.8951525550567196,2.02552718974435e-09,-4.472635851528504e-06
2.025777190161017e-09,0.8951300892827031,2.025777190161017e-09,-4.473540334593783e-06
2.026051619725366e-09,0.8951054296058345,2.026051619725366e-09,-4.474302590591576e-06
2.026302862609648e-09,0.8950828550153888,2.026302862609648e-09,-4.474992518293995e-06
2.026534480136223e-09,0.8950620456395083,2.026534480136223e-09,-4.475633242192092e-06
2.026997715189373e-09,0.895020432739473,2.026997715189373e-09,-4.476914525981291e-06
2.027924185295674e-09,0.8949372308200321,2.027924185295674e-09,-4.47947438748093e-06
2.029777125508275e-09,0.8947709228912784,2.029777125508275e-09,-4.484583695353928e-06
2.03232346257937e-09,0.894542591640196,2.03232346257937e-09,-4.491585438215072e-06
