/I0/pga_amp_vin X,/I0/pga_amp_vin Y
0,0
1.232270093499527e-10,0.0002256437810823096
1.73419176268837e-10,0.0003401116502988231
2.738035101066056e-10,0.0006176846653858305
3.98548757298352e-10,0.001056050233760787
5.729296143827775e-10,0.001817660982408299
7.234505022461798e-10,0.002591514029507294
8.731269350694518e-10,0.00344785709901054
1.035998330485347e-09,0.004459181566822095
1.215543701087928e-09,0.005651754782690522
1.419273426938633e-09,0.007084456964042161
1.652761205077994e-09,0.008809530986179004
1.921928776715905e-09,0.01088553598844083
2.233057736212891e-09,0.01337688118448772
2.58322147430903e-09,0.01627339366311553
2.980334154465375e-09,0.01965204284067701
3.435707232019695e-09,0.02362436261569252
3.964248597847573e-09,0.0283413752681696
4.586261792373088e-09,0.03401319438400168
5.313504037268137e-09,0.04078261599147021
6.135382195133047e-09,0.04858401968929177
7.053036947916056e-09,0.05745454738589421
8.013178326386068e-09,0.06688483998922228
8.998784698140074e-09,0.07668457018785287
1.004895324276003e-08,0.08721770675057137
1.119807282585045e-08,0.09880525699061067
1.247455190269396e-08,0.1116947078420946
1.390347063177145e-08,0.1260628392655058
1.525849668920866e-08,0.1395415799584145
1.639297790622786e-08,0.1506521736136037
1.73753140906116e-08,0.1601010599596042
1.825727935739575e-08,0.168420718463274
1.908207288434702e-08,0.1760399822395164
1.985581851045448e-08,0.1830249066382037
2.05919555178868e-08,0.1894928269231543
2.131038335767817e-08,0.1955857863991366
2.199012051927429e-08,0.2010790648548129
2.254296313572294e-08,0.2052963033536136
2.307704776264228e-08,0.2091092023902802
2.36925463087042e-08,0.2131399591955208
2.420098726767823e-08,0.2161653350345458
2.460784105989131e-08,0.2183946463642962
2.496364551365062e-08,0.2202182862352273
2.529430444347939e-08,0.2218239244540739
2.563026040749284e-08,0.2233858350640093
2.601416396009315e-08,0.2251085070125339
2.659834794036593e-08,0.2276501938285112
2.711987448111603e-08,0.2298640908836013
2.752652279493293e-08,0.2315621045955833
2.791354218062661e-08,0.2331564424323008
2.829283614573506e-08,0.234696331704698
2.863936247288392e-08,0.2360808276881771
2.891886210061402e-08,0.2371800915242605
2.914259151258969e-08,0.2380477356382244
2.934375049511657e-08,0.2388178530985189
2.955397420500814e-08,0.2396120142646513
2.984177409423738e-08,0.2406808579302243
3.015127689977208e-08,0.2418060782992739
3.0386577265343e-08,0.2426445496249906
3.061470720085644e-08,0.2434433624067666
3.085935650870305e-08,0.2442844933876156
3.113744888645319e-08,0.2452209608465447
3.147784915557411e-08,0.2463385594692222
3.191985138813528e-08,0.2477421782969576
3.253889987280002e-08,0.2496170055482744
3.350904582198512e-08,0.2523414785201508
3.522673416938975e-08,0.2565409056168003
3.769683562918322e-08,0.2612919463754981
4.036822668071487e-08,0.2650068633245722
4.297415910348231e-08,0.2676119371026059
4.549552511846698e-08,0.2695502226984086
4.80777221185229e-08,0.2712188534637506
5.137307999067986e-08,0.2731363279285777
5.283517594172319e-08,0.2739387409635226
5.423566302683005e-08,0.2746928615823966
5.568646637752397e-08,0.2754653834725009
5.722557428900552e-08,0.2762786367344282
5.925591885204261e-08,0.277344411045342
6.242806575499363e-08,0.2789970993429803
6.46893509572381e-08,0.2801676798960999
6.674521221660781e-08,0.2812281575074222
6.924387770356534e-08,0.2825154370356766
7.238337463191578e-08,0.2841388247770786
7.609374770601129e-08,0.2860874663076003
8.052139658163602e-08,0.2885095922569581
8.535190146095891e-08,0.2913799156453583
9.053093948711754e-08,0.2949113598240125
9.609281842305841e-08,0.2995451667770175
1e-07,0.3035221990253935
1.000149427531723e-07,0.3035303535667
1.000264034512537e-07,0.3035365505059948
1.000493248474164e-07,0.3035488776606084
1.000752635053201e-07,0.3035627844783964
1.001179761151267e-07,0.3035856601176274
1.002034013347399e-07,0.3036313741371754
1.003715774144603e-07,0.3037212158212836
1.007079295739011e-07,0.3039001500652954
1.011252591121562e-07,0.3041202454563613
1.014561318318478e-07,0.304292382813457
1.017128732223794e-07,0.3044237726139994
1.019269555141955e-07,0.3045313850846057
1.021178398273886e-07,0.304625540216912
1.023074174953642e-07,0.3047171695640665
1.025251371598516e-07,0.3048199258525148
1.027740153837832e-07,0.3049339647834089
1.030243273367615e-07,0.3050445125272362
1.032405836596345e-07,0.3051356564529489
1.034275674368065e-07,0.3052094892394705
1.035715137009275e-07,0.3052612913449154
1.03683690227424e-07,0.3052975575088235
1.037509271456193e-07,0.3053174623266081
1.038204804448871e-07,0.305336694294392
1.038770336510334e-07,0.3053514344158769
1.03930302083153e-07,0.3053647347602076
1.039875139748962e-07,0.3053785678847663
1.040470320662025e-07,0.3053926041523088
1.04099814933781e-07,0.305404781552025
1.041548260647255e-07,0.3054171358176298
1.042149177464494e-07,0.3054300406106917
1.042808981399583e-07,0.3054435426773329
1.043571041607861e-07,0.3054627104892674
1.044036222886246e-07,0.3054809097135869
1.044405030904401e-07,0.305502552001448
1.044864938411447e-07,0.3055430508269052
1.045190860937202e-07,0.3055824887660416
1.045448008934429e-07,0.3056205202886015
1.045677285848372e-07,0.305659790929385
1.045886621268061e-07,0.3057000857782519
1.046091510190784e-07,0.3057435467306692
1.046304133119592e-07,0.3057926757029726
1.04653865964902e-07,0.3058513072422163
1.046828752583989e-07,0.3059296433488467
1.047085206256636e-07,0.3060036777685416
1.047380074088398e-07,0.3060935956208648
1.04763626908395e-07,0.3061753786970742
1.047859952567535e-07,0.3062492236603483
1.048053315962591e-07,0.3063145761834234
1.048209714608741e-07,0.3063681102284367
1.048338171130746e-07,0.3064122406020796
1.048462460082399e-07,0.3064548949377837
1.048624863553543e-07,0.3065104654155549
